"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test","This will create new  store","SUCCESS","2023-01-09T02:03:22.682Z[Europe/London]","0.0","0.07"
"Store CRUD test","Getting the store information with Name:","SUCCESS","2023-01-09T02:03:22.755Z[Europe/London]","0.0","0.03"
"Store CRUD test","Updating store information and verify the updated information","SUCCESS","2023-01-09T02:03:22.784Z[Europe/London]","0.0","0.04"
"Store CRUD test","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-09T02:03:22.823Z[Europe/London]","0.0","0.04"
